nro;nombre_archivo;id_revista;revista;pais;macroarea;metodologia;titulo;anio;autores;doi;url_fulltext;disciplina;objetivo_general;frase_inferencia;frase_muestreo;tipo_estudio;enfoque_metodologico;diseno_estudio;tamano_muestra;es_cuantitativo_con_inferencia;muestreo_probabilistico;muestreo_no_probabilistico;declara_tipo_muestreo;declara_calculo_tamano_muestral;reporta_intervalos_confianza;extrapola_a_poblacion;advierte_limites_muestreo;aplica_muestreo_inferencial;clasificacion_inferencial;motivo_principal;nivel_confianza_clasificacion;incumple_inferencia;software_estadistico;comentario_metodologico;area;macroarea_final;origen;estado;ruta_pdf_ref;clasificacion_original;clasificacion_recheck;clasificacion_final;aplicable_final;_reconfirmado
40;02080_Fisioterapia_em_Movimento_nan.pdf;248.0;Fisioterapia em Movimento;Brasil;Ciencias de la Salud;Experimental + Estadística;Efetividade de exercícios de estabilização segmentar sobre a dor lombar crônica mecânico-postural;2022.0;"Natália Toledo Pereira; Luiz Alfredo Braun Ferreira; Wagner Menna Pereira";10.1590/S0103-51502010000400011;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502010000400011&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02080_Fisioterapia_em_Movimento_nan.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
41;02082_Fisioterapia_em_Movimento_nan.pdf;248.0;Fisioterapia em Movimento;Brasil;Ciencias de la Salud;Experimental + Estadística;Evaluation of frequency of positive exercise-induced bronchospasm between swimmers and sedentary individuals;2025.0;"Laricy Martins da Mata; Regiane Coissi Sanches; Marceli Rocha Leite; Francis Lopes Pacagnelli; Luiz Carlos Marques Vanderlei; Flávio Danilo Mungo Pissulin";10.1590/1980-5918.030.002.ao08;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502017000200277&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02082_Fisioterapia_em_Movimento_nan.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
42;02084_Fisioterapia_em_Movimento_nan.pdf;248.0;Fisioterapia em Movimento;Brasil;Ciencias de la Salud;Experimental + Estadística;Comparison of three protocols for measuring the maximal respiratory pressures;2025.0;"Isabela Maria B. Sclauser Pessoa; Cristina Martins Coelho; Liliane Patrícia de Souza Mendes; Dayane Montemezzo; Danielle Aparecida Gomes Pereira; Verônica Franco Parreira";10.1590/0103-5150.028.001.AO03;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000100031&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02084_Fisioterapia_em_Movimento_nan.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
43;02088_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;Efeito do Exercício na Funcionalidade, na Depressão e na dor de Idosos Institucionalizados;2024.0;"Alessandra da Silva Oliveira; Claudia Teixeira-Arroyo";;https://cdn.publisher.gn1.link/ggaging.com/pdf/v6n1a07.pdf;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02088_Geriatrics_Gerontology_and_Agi_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
44;02089_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;Equipment in Senior Gyms: Influence on the Behavior of Blood Pressure and Heart Rate of Elderlies;2024.0;"Sillas Oliveira Leonel Júnior; Mateus Dias Antunes; Ramon Gustavo de Moraes Ovando; Ana Paula Serra de Araújo; Flávio Bortolozzi; Marcelo Picinin Bernuci; Sônia Maria Marques Gomes Bertolini";10.5327/Z2447-211520171700042;https://cdn.publisher.gn1.link/ggaging.com/pdf/en_v11n4a02.pdf;;;;;;;;;;;SÃ­;;;;SÃ­;SÃ­;SÃ­;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02089_Geriatrics_Gerontology_and_Agi_2024.pdf;Debilidad importante;Falla fuerte;Falla fuerte;True;True
45;02092_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;Estudo Clínico e Achados de Neuroimagem em Pacientes Com Factor de Risco Para Demência Vascular;2024.0;"Andréa Negrão Costa; Carla Mércia Souza Dacier Lobato; Karlo Edson Carneiro Santana Moreira; Janaína Fátima Lélis Ribeiro; José Acúrcio Gomes Cavalleiro de Macêdo; Marina Maria Guimarães Borges";10.22305/ict-unpa.v17.n3.1214;https://cdn.publisher.gn1.link/ggaging.com/pdf/v6n1a09.pdf;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02092_Geriatrics_Gerontology_and_Agi_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
46;02093_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;Hiperpara Tireoidismo Secundário À Hipovi Taminose D E Declínio De Funcionalidade Em Idosos Internados;2024.0;"Jussara Meyer Osielski; Décio F. Montresor Jr.; Débora Carolina Netz Sanches; Luciano Henrique Monteiro Soares; Maurício de Miranda Ventura";10.22305/ict-unpa.v17.n1.1165;https://cdn.publisher.gn1.link/ggaging.com/pdf/v7n3a07.pdf;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02093_Geriatrics_Gerontology_and_Agi_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
47;02094_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;A Influência Da Prótese Auditiva Na Qualidade De Vida Do Idoso;2024.0;"Nora Helena Galvan Gomes; Newton Luis Terra";10.22305/ict-unpa.v17.n3.1210;https://cdn.publisher.gn1.link/ggaging.com/pdf/v7n2a09.pdf;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02094_Geriatrics_Gerontology_and_Agi_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
48;02095_Geriatrics_Gerontology_and_Agi_2024.pdf;249.0;Geriatrics, Gerontology and Aging;Brasil;Ciencias de la Salud;Experimental + Estadística;Indicadores de Saúde Associados à Incapacidade Funcional em Idosos de Baixa Renda;2024.0;"Gustavo Nunes Pereira; Giovâni Firpo Del Duca; Gisele Alsina Nader Bastos";;https://cdn.publisher.gn1.link/ggaging.com/pdf/v5n2a04.pdf;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02095_Geriatrics_Gerontology_and_Agi_2024.pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
49;02099_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;Effect of polidocanol foam sclerotherapy for the treatment of venous ulcers: a randomized clinical trial protocol;2025.0;"Melissa Andreia  de Moraes Silva; Natália Leite Fortes; Luana de Andrade Oliveira; Rodolfo Souza Faria";10.21876/hsjhci.v15.e1469;https://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1469;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02099_HSJ_2025.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
50;02101_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;Physical inactivity and sedentary behavior profiles in individuals with heart failure: comparison with healthy subjects and determinant factors;2025.0;"Karina Lourenço Dias; Leticia Fernandes Belo; Fabio Pitta; Nidia Aparecida Hernandes";10.21876/hsjhci.v15.e1583;https://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1583;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02101_HSJ_2025.pdf;Debilidad importante;Falla fuerte;Falla fuerte;True;True
51;02102_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;Padrão de circulação dos vírus influenza A/B e Vírus Sincicial Respiratório (VSR) em Fortaleza, Ceará, após a pandemia de SARS-CoV-2;2025.0;"Jean Breno da Silva Silveira; Sarah Sousa Nascimento dos Santos; Lia Felipe de Araujo; Luís Carlos Mendes Cavalcante; Fabiane Feitosa de Medeiros Batista; Dinizia Mineia Ferreira Alves Diniz Martins; Alexandre de Almeida Monteiro; Caroline Aquino Moreira-Nunes";10.21876/hsjhci.v15.e1569;https://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1569;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02102_HSJ_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
52;02103_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;Perfil de pessoas cadastradas no Programa de Oxigenoterapia Domiciliar de Alfenas/Minas Gerais;2025.0;"Giovana Nunes de Oliveira; Luana Cristina Terloni de Souza; Angélica de Cássia Bitencourt; Bianca Aparecida Brito da Silva; Maria Betania Tinti de Andrade; Silvana Maria Coelho Leite Fava; Melissa Lúcia Melo; Eliza Maria Rezende Dázio";10.21876/hsjhci.v15.e1568;http://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1568;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02103_HSJ_2025.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
53;02104_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;A influência do estresse no desempenho acadêmico e qualidade do sono: um estudo transversal com estudantes universitários;2025.0;"Glória Maria Rodrigues Deodato; Ana Letícia Oliveira Cadena; Sarah Marinho Pereira Paiva; Gregório Fernandes Gonçalves; Eveline de Almeida Silva Abrantes";10.21876/hsjhci.v15.e1602;https://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1602;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02104_HSJ_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
54;02105_HSJ_2025.pdf;250.0;HSJ;Brasil;Ciencias de la Salud;Experimental + Estadística;Traditional bilateral sagittal split osteotomy versus short variant on the sensory recovery of the chin and lower lip;2025.0;"Gabriely Ferreira; François Isnaldo Dias Caldeira; Miguel Pereira da Mata Santos; Marcelo Silva Monnazzi";10.21876/hsjhci.v15.e1585;https://portalrcs.hcitajuba.org.br/index.php/rcsfmit_zero/article/view/1585;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02105_HSJ_2025.pdf;Debilidad importante;Falla fuerte;Falla fuerte;True;True
55;02112_HU_Revista_2025.pdf;251.0;HU Revista;Brasil;Ciencias de la Salud;Experimental + Estadística;Variabilidade dos marcadores morfofuncionais e mortalidade após rastreio da doença renal crônica: estudo longitudinal após dez anos;2025.0;"Neimar  Fernandes; Edson Magacho; Luciana   Dalamura; Luciana Sodré; Natalia Fernandes; Marcus Bastos";;https://periodicos.ufjf.br/index.php/hurevista/article/view/45643;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02112_HU_Revista_2025.pdf;Debilidad importante;Falla fuerte;Falla fuerte;True;True
56;02125_Interface_Comunicação_Saúde_Ed_2021.pdf;253.0;Interface: Comunicação, Saúde, Educação;Brasil;Ciencias de la Salud;Experimental + Estadística;A pandemia de Covid-19 e seus entrelaçamentos com desigualdade de gênero, insegurança alimentar e apoio social na América Latina;2021.0;"Luna Rezende Machado de Sousa; Rafael Gomes Ditterich; Hugo Melgar-Quinõnez";10.1590/interface.200651;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832021000200216&tlng=pt;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02125_Interface_Comunicação_Saúde_Ed_2021.pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
57;02127_O_Mundo_da_Saúde_2025.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Characterization of Patagonian Salicornia: nutritional, sensory and microbiological aspects;2025.0;"Oscar Alberto Bianciotto; Fernando Martín Aras; Maria Elena Arce; Eduardo Levy";10.15343/0104-7809.202549e16742024E;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1674;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02127_O_Mundo_da_Saúde_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
58;02128_O_Mundo_da_Saúde_2025.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Functional performance analysis in individuals recovered from COVID-19: assessment through the six-minute walk test;2025.0;"Gisele Jesus Furlan; Arthur Nunes Marche; André Cabral Sardim; Ricardo Luís Salvaterra Guerra; Ricardo Farinasso Caboclo; Taís Mendes de Camargo";10.15343/0104-7809.202549e17442025P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1744;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02128_O_Mundo_da_Saúde_2025.pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
59;02129_O_Mundo_da_Saúde_2025.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Physical activity practice and negative self-rated health among university students during COVID-19;2025.0;"Juliana de Souza Soares; Thiago Ferreira de Sousa; Maria Isabel Martins Mourão-Carvalhal; Sandra Celina Fernandes Fonseca";10.15343/0104-7809.202549e17082025P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1708;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02129_O_Mundo_da_Saúde_2025.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
60;02131_O_Mundo_da_Saúde_2024.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Assessment of sleep quality and daytime sleepiness in a group of elderly people;2024.0;"Carolini Paulo do Nascimento; Aline Cristina Carrasco; Vanessa Cristina Novak; Cintia Raquel Bim";10.15343/0104-7809.202448e15492023P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1549;;;;;;;;;;;Sí;;;;No;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02131_O_Mundo_da_Saúde_2024.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
61;02132_O_Mundo_da_Saúde_2024.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Phase II study of pregabalin for the prevention of chemotherapy induced nausea and vomiting;2024.0;"Carla Santos Rossi Paniquar; Auro  del Giglio; Alayne Magalhães Trindade Domingues Yamada; Felipe José Silva Melo Cruz";10.15343/0104-7809.202448e15402023P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1540;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02132_O_Mundo_da_Saúde_2024.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
62;02133_O_Mundo_da_Saúde_2024.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;GBH (Brazilian Group of Hemochromatosis): educating about the disease to preserve life;2024.0;"Solange Rosanir de Lima; Jennifer Saori Nakahara; André Machado Bottino; Silmara Rodrigues Machado; Paulo Caleb Júnior Lima Santos";10.15343/0104-7809.202448e16612024P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1661;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02133_O_Mundo_da_Saúde_2024.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
63;02135_O_Mundo_da_Saúde_2023.pdf;259.0;O Mundo da Saúde;Brasil;Ciencias de la Salud;Experimental + Estadística;Integrative and Complementary Health Practices in Coping with the Covid-19 Pandemic Period by Remote Workers;2023.0;"Nyna Teixeira Ribeiro; Giovanna Carvalho de Oliveira; Yuri Nakashima; Lorena de Paula Fragoso Tomé; Karina Durce";10.15343/01047809.202347e14342022P;https://revistamundodasaude.emnuvens.com.br/mundodasaude/article/view/1434;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02135_O_Mundo_da_Saúde_2023.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
64;02136_Pesquisa_Brasileira_em_Odontop_2026.pdf;261.0;Pesquisa Brasileira em Odontopediatria e Clínica Integrada;Brasil;Ciencias de la Salud;Experimental + Estadística;Resolution of Endodontic Treatments in Municipalities with Brazilian Dental Specialty Centers - CEO: Ecological Study;2026.0;"Albina de Fátima Fanni Santos; Carolina Dutra Degli Esposti; Ana Paula Santana Coelho Almeida";10.4025/actascianimsci.v47i1.69275;https://revista.uepb.edu.br/PBOCI/article/view/5019;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02136_Pesquisa_Brasileira_em_Odontop_2026.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
65;02138_Pesquisa_Brasileira_em_Odontop_2026.pdf;261.0;Pesquisa Brasileira em Odontopediatria e Clínica Integrada;Brasil;Ciencias de la Salud;Experimental + Estadística;ICCC Agreement in Restorative Treatment Decisions by Brazilian Dentists and Dental Students: A Cross-Sectional Study;2026.0;"Lucas Cavalcante de Sousa; Amanda de Medeiros Amancio; Maria Angela Fernandes Ferreira; Maria Cristina dos Santos Medeiros";10.4025/actascianimsci.v46i1.69380;https://revista.uepb.edu.br/PBOCI/article/view/5097;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02138_Pesquisa_Brasileira_em_Odontop_2026.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
66;02140_Pesquisa_Brasileira_em_Odontop_2025.pdf;261.0;Pesquisa Brasileira em Odontopediatria e Clínica Integrada;Brasil;Ciencias de la Salud;Experimental + Estadística;Different Methods for Using a Validated Comic to Promote the Safe Use of Fluoridated Toothpaste Among Children;2025.0;"Sérgio da Silva Lima; Luciane Zanin; Arlete Maria Gomes Oliveira; Flávia Martão Flório";10.4025/actascianimsci.v46i1.62653;https://revista.uepb.edu.br/PBOCI/article/view/4635;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02140_Pesquisa_Brasileira_em_Odontop_2025.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
67;02142_Pesquisa_Brasileira_em_Odontop_2025.pdf;261.0;Pesquisa Brasileira em Odontopediatria e Clínica Integrada;Brasil;Ciencias de la Salud;Experimental + Estadística;Oral Health of Autistic Children and Parental Attitudes Towards their Oral Care;2025.0;"Lulëjeta Ferizi Shabani; Gonxhe Barku; Alban Topallaj; Marigona Beqiri";10.4025/actascianimsci.v45i1.61186;https://revista.uepb.edu.br/PBOCI/article/view/4848;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02142_Pesquisa_Brasileira_em_Odontop_2025.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
68;02144_Pesquisa_Brasileira_em_Odontop_2025.pdf;261.0;Pesquisa Brasileira em Odontopediatria e Clínica Integrada;Brasil;Ciencias de la Salud;Experimental + Estadística;Microbiological Analysis of Oral Biofilm and Tracheal Aspirate in Child Patients under Mechanical Ventilation;2025.0;"Camila Maria Simas Almondes; Fábio Mesquita da Silva; Luana Carneiro Diniz Souza; Alicia Valeria dos Santos Zaranza de Carvalho; Vandilson Pinheiro Rodrigues; Fernanda Ferreira Lopes";10.4025/actascianimsci.v46i1.65360;https://revista.uepb.edu.br/PBOCI/article/view/4878;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02144_Pesquisa_Brasileira_em_Odontop_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
69;02152_Pesquisa_Veterinária_Brasileir_2016.pdf;262.0;Pesquisa Veterinária Brasileira;Brasil;Ciencias de la Salud;Experimental + Estadística;Retrospective study of pre-anesthetic electrocardiogram examination of 700 dogs conducted at the Veterinary Hospital of UFMG (2013-2014);2016.0;"Ana Flávia Machado Botelho; Maira Souza Oliveira; Benito Soto-Blanco; Marília M. Melo";10.1590/S0100-736X2016000200005;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2016000200090&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02152_Pesquisa_Veterinária_Brasileir_2016.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
70;02156_Revista_Brasileira_de_Terapia_2022.pdf;264.0;Revista Brasileira de Terapia Intensiva;Brasil;Ciencias de la Salud;Experimental + Estadística;Valor prognóstico da hiperlactatemia em pacientes admitidos com infecção em unidades de terapia intensiva: estudo multicêntrico;2022.0;"Catarina Mendes Silva; João Pedro Baptista; Paulo Mergulhão; Filipe Froes; João Gonçalves-Pereira; José Manuel Pereira; Claudia Camila Dias; José Artur Paiva";10.5935/0103-507x.20220010-pt;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2022000100154&tlng=pt;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02156_Revista_Brasileira_de_Terapia_2022.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
71;02157_Revista_Brasileira_de_Terapia_2022.pdf;264.0;Revista Brasileira de Terapia Intensiva;Brasil;Ciencias de la Salud;Experimental + Estadística;Doação de pulmão e manejo do doador: um levantamento entre profissionais de saúde na Argentina;2022.0;"Vanesa Romina Ruiz; Sergio Adrián Terrasa; Susana Bauque; Pablo Ezequiel Rodriguez; Verónica Celia Morozovsky; Alejandro Gabriel Da Lozzo; Alejandro Daniel Midley";10.5935/0103-507x.20210072;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-507X2021000400557&tlng=pt;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\02157_Revista_Brasileira_de_Terapia_2022.pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
