id_muestra;macroarea;metodologia;pais;titulo;issn_impreso;issn_electronico;editor;idiomas;areas_tematicas;url_revista;url_doaj;proceso_revision;tiene_apc;articulos_a_revisar
77;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Multitexto;2316-4484;;Universidade Estadual de Montes Claros;Portuguese;Education: Education (General);http://www.ead.unimontes.br/multitexto;https://doaj.org/toc/8e58bcd163484dd1869471bedc93a269;Peer review;No;10
78;Ciencias Agrarias y Ambientales;Experimental + Estadística;Paraguay;Revista Paraguaya de Educación a Distancia;2707-3289;2707-3297;Universidad Nacional de Asunción;Spanish, English, Portuguese;Education: Education (General) | Education: Theory and practice of education | Education: Special aspects of education;https://revistascientificas.una.py/index.php/REPED/;https://doaj.org/toc/3152d3e256a04774bd7b7f516f9d9a85;Double anonymous peer review;No;10
79;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Segurança Alimentar e Nutricional;;2316-297X;Universidade Estadual de Campinas;Portuguese;Agriculture: Agriculture (General) | Technology: Home economics: Nutrition. Foods and food supply;http://periodicos.sbu.unicamp.br/ojs/index.php/san;https://doaj.org/toc/f5cb4dfb633c447eacfd07a05ac48118;Double anonymous peer review;No;10
80;Ciencias Agrarias y Ambientales;Experimental;Brasil;Revista Tecnologia;0101-8191;2318-0730;Universidade de Fortaleza;Portuguese;Technology: Engineering (General). Civil engineering (General) | Technology: Technology (General);https://periodicos.unifor.br/tec/index;https://doaj.org/toc/563e53f2a3d2411bbac2d53056afea17;Anonymous peer review;No;10
81;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Temas em Educação;0104-2777;2359-7003;Universidade Federal da Paraíba;Portuguese;Education: Education (General);https://periodicos.ufpb.br/index.php/rteo/index;https://doaj.org/toc/5ef3429ec66c4417a4b983064f0fa619;Double anonymous peer review;No;10
82;Ciencias Agrarias y Ambientales;Experimental;Ecuador;Revista Técnica Energía;1390-5074;2602-8492;Operador Nacional de Electricidad – CENACE;English, Spanish;Technology: Technology (General);https://revistaenergia.cenace.gob.ec;https://doaj.org/toc/3c584b96817749e289d877fe49169244;Anonymous peer review;No;10
83;Ciencias Agrarias y Ambientales;Inferencia Estadística;Chile;Revista de Derecho Ambiental;0718-0101;0719-4633;Universidad de Chile;Spanish;Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Environmental law;https://revistaderechoambiental.uchile.cl/;https://doaj.org/toc/637d80fa8c92427d900c6e42af5c72d0;Double anonymous peer review;No;10
84;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista de Educação PUC-Campinas;;2318-0870;Pontifícia Universidade Católica de Campinas;Spanish, English, Portuguese;Education: Education (General) | Education: Theory and practice of education;https://periodicos.puc-campinas.edu.br/reveducacao;https://doaj.org/toc/ae4efa50b18a478599ebc9c0970eb508;Anonymous peer review, Double anonymous peer review;No;10
85;Ciencias Agrarias y Ambientales;Inferencia Estadística;Argentina;Revista de Estudios Clásicos;0325-3465;2469-0643;Universidad Nacional de Cuyo;English, French, Italian, Portuguese, Spanish;Language and Literature: Philology. Linguistics | Philosophy. Psychology. Religion: Philosophy (General);http://revistas.uncu.edu.ar/ojs/index.php/revistaestudiosclasicos/index;https://doaj.org/toc/0fd0ad71f6db4510a3db36e45d9855c6;Double anonymous peer review;No;10
86;Ciencias Agrarias y Ambientales;Experimental + Estadística;Ecuador;Siembra;1390-8928;2477-8850;Universidad Central del Ecuador;Spanish, English;Agriculture;http://revistadigital.uce.edu.ec/index.php/SIEMBRA;https://doaj.org/toc/790b9d0e5f494a69a1e6d315103bd8c7;Double anonymous peer review;No;10
87;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Terrae Didatica;;1980-4407;Universidade Estadual de Campinas;Portuguese;Education: Education (General) | Education: Special aspects of education;https://periodicos.sbu.unicamp.br/ojs/index.php/td/index;https://doaj.org/toc/c3c9a2ce62d645d3b27e4abb21147a74;Peer review;No;10
88;Ciencias Agrarias y Ambientales;Experimental + Estadística;Colombia;Tropical Grasslands-Forrajes Tropicales;;2346-3775;Centro Internacional de Agricultura Tropical;English, Spanish;Agriculture;http://www.tropicalgrasslands.info;https://doaj.org/toc/6acc2f3a8af147f1af0316cbf3b34354;Peer review;No;10
89;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Visualidades;1679-6748;2317-6784;Universidade Federal de Goiás;English, Portuguese, Spanish;Fine Arts: Visual arts | Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology;http://www.revistas.ufg.br/index.php/VISUAL/index;https://doaj.org/toc/6313ece249dd46a3ac8238386619235f;Anonymous peer review;No;10
90;Ciencias Agrarias y Ambientales;Inferencia Estadística;Colombia;Voces y Silencios: Revista Latinoamericana de Educación;;2215-8421;"Los Andes University; Faculty of Education";Portuguese, English, Spanish;Education: Education (General);https://revistas.uniandes.edu.co/index.php/vys/index;https://doaj.org/toc/61a946dad67f4f688182ff5d1b939d5e;Double anonymous peer review;No;10
91;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Acta Amazonica;0044-5967;;Instituto Nacional de Pesquisas da Amazônia;English, Portuguese, Spanish;Science: Science (General);https://www.scielo.br/j/aa/;https://doaj.org/toc/112f204683a2443e959fe54af91dd372;Peer review;No;10
92;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Acta Ambiental Catarinense;;2175-1552;Universidade Comunitária da Região de Chapecó;Portuguese, English, Spanish;Technology: Environmental technology. Sanitary engineering | Science: Natural history (General): General. Including nature conservation, geographical distribution;http://bell.unochapeco.edu.br/revistas/index.php/acta/index;https://doaj.org/toc/65a9f9e416654797961db52d172e22c4;Double anonymous peer review;No;10
93;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Acta Brasiliensis;2526-432X;2526-4338;Universidade Federal de Campina Grande;Portuguese;Geography. Anthropology. Recreation: Environmental sciences | Science: Biology (General): Ecology;http://revistas.ufcg.edu.br/ActaBra;https://doaj.org/toc/e9c16baa7df54b7e84bae71fccc2e2f1;Peer review;No;10
94;Ciencias Naturales y Exactas;Experimental + Estadística;Colombia;Acta Neurológica Colombiana;0120-8748;2422-4022;Asociación Colombiana de Neurología;English, Spanish;Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system;https://actaneurologica.com/index.php/anc/index;https://doaj.org/toc/a9a7aa8755374bbb9690a5d0deebe258;Double anonymous peer review;No;10
95;Ciencias Naturales y Exactas;Experimental;Brasil;Acta Scientiarum: Biological Sciences;1679-9283;1807-863X;Universidade Estadual de Maringá;English;Science: Biology (General) | Science: Microbiology;https://periodicos.uem.br/ojs/index.php/ActaSciBiolSci/index;https://doaj.org/toc/0a6cbf7338f44bdaae687ca24512c8a0;Anonymous peer review;No;10
96;Ciencias Naturales y Exactas;Experimental + Estadística;Uruguay;Agrociencia;1510-0839;2301-1548;Universidad de la República;English, Spanish, Portuguese;Agriculture | Geography. Anthropology. Recreation: Environmental sciences;http://agrocienciauruguay.uy/;https://doaj.org/toc/625bc002feed4c068a386de88506756f;Double anonymous peer review;No;10
97;Ciencias Naturales y Exactas;Experimental + Estadística;Ecuador;AquaTechnica;;2737-6095;Universidad Técnica de Manabí;Portuguese, English, Spanish;Geography. Anthropology. Recreation | Science: Biology (General): Economic biology | Science: Biology (General): Ecology;https://revistas.utm.edu.ec/index.php/aquatechnica/;https://doaj.org/toc/386d3247f4e340c5b76f4d10334e86c7;Anonymous peer review;No;10
98;Ciencias Naturales y Exactas;Experimental;Brasil;AtoZ: Novas Práticas em Informação e Conhecimento;;2237-826X;Universidade Federal do Paraná;Spanish, Portuguese, English;Technology: Technology (General): Industrial engineering. Management engineering: Management information systems | Technology: Technology (General): Industrial engineering. Management engineering: Information technology | Bibliography. Library science. Information resources;http://www.revistas.ufpr.br/atoz;https://doaj.org/toc/35a7572c5dcb416c9766b7ec617216d8;Double anonymous peer review, Open peer review;No;10
99;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Baru;;2448-0460;Pontificia Universidade Católica de Goiás;Portuguese, Spanish, English;Geography. Anthropology. Recreation: Human ecology. Anthropogeography: Settlements: Cities. Urban geography | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology;https://seer.pucgoias.edu.br/index.php/baru/index;https://doaj.org/toc/4f25286605904ccb9c8d6fb1ca8071b2;Double anonymous peer review;No;10
100;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;BoEM: Boletim Online de Educação Matemática;;2357-724X;Universidade do Estado de Santa Catarina;Portuguese;Education: Education (General) | Science: Mathematics;http://www.revistas.udesc.br/index.php/boem;https://doaj.org/toc/b6b0775e5d204b16abfd6f1a7d6d7574;Double anonymous peer review;No;10
101;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Boletín Científico Sapiens Research;;2215-9312;Sapiens Research Group;Spanish;Social Sciences: Social sciences (General);https://www.srg.com.co/bcsr/index.php/bcsr;https://doaj.org/toc/eab816dc7ebe437c97eb96c5215bec3c;Peer review;No;10
102;Ciencias Naturales y Exactas;Experimental;Colombia;Boletín Geológico;0120-1425;2711-1318;Servicio Geológico Colombiano;English, Spanish;Science: Geology;https://revistas.sgc.gov.co/index.php/boletingeo;https://doaj.org/toc/1ead438e1c034f7e98f80aef3e96872e;Double anonymous peer review;No;10
103;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;CQD Revista Eletrônica Paulista de Matemática;;2316-9664;UNESP;Portuguese;Science: Mathematics;https://sistemas.fc.unesp.br/ojs/index.php/revistacqd/index;https://doaj.org/toc/65d66719928c4a4bac3b0432b547be30;Double anonymous peer review;No;10
104;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Cadernos Brasileiros de Terapia Ocupacional;;2526-8910;Universidade Federal de São Carlos, Departamento de Terapia Ocupacional;Portuguese, Spanish, English;Medicine | Social Sciences;https://www.cadernosdeterapiaocupacional.ufscar.br/index.php/cadernos;https://doaj.org/toc/1882aa8b122b4503a81f466d985058e3;Double anonymous peer review, Open peer review;Yes;10
105;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Cadernos de Pesquisa;;2178-2229;Universidade Federal do Maranhão;English, Portuguese, Spanish;Education | Social Sciences;http://www.periodicoseletronicos.ufma.br/index.php/cadernosdepesquisa;https://doaj.org/toc/dcfa640db97c49f6baf26fa65e6251ff;Peer review;No;10
106;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Cadernos de Psicologia Social do Trabalho;1516-3717;1981-0490;Universidade de São Paulo (USP);Portuguese;Philosophy. Psychology. Religion: Psychology | Social Sciences: Industries. Land use. Labor: Labor. Work. Working class: Industrial hygiene. Industrial welfare | Social Sciences: Commerce: Business: Industrial psychology;http://www.revistas.usp.br/cpst/;https://doaj.org/toc/6e0415469a4e4342a0c34296e32450d2;Peer review;No;10
107;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Cadernos do CEOM;1413-8409;2175-0173;Centro de Memória do Oeste de Santa Catarina;Portuguese;Education: Special aspects of education | Auxiliary sciences of history;http://bell.unochapeco.edu.br/revistas/index.php/rcc;https://doaj.org/toc/4ace4e08ae4b4a809d70989332c45c7f;Double anonymous peer review;No;10
108;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Cadernos do GPOSSHE On-line;;2595-7880;Universidade Estadual do Ceará;Portuguese;History (General) and history of Europe: History (General) | Social Sciences: Socialism. Communism. Anarchism;https://revistas.uece.br/index.php/CadernosdoGPOSSHE/index;https://doaj.org/toc/43afda7abd3e4d8da91e08b953b2313f;Double anonymous peer review;No;10
109;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Cadernos do LEPAARQ;1806-9118;2316-8412;Universidade Federal de Pelotas;Portuguese;Geography. Anthropology. Recreation: Anthropology | Auxiliary sciences of history: Archaeology;https://periodicos.ufpel.edu.br/ojs2/index.php/lepaarq/index;https://doaj.org/toc/3811243d06f7401ca906630fbe9da768;Double anonymous peer review;No;10
110;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Caminhos de Geografia;;1678-6343;Universidade Federal de Uberlândia;Portuguese, English, Spanish;Geography. Anthropology. Recreation: Human ecology. Anthropogeography | Geography. Anthropology. Recreation: Geography (General);http://www.seer.ufu.br/index.php/caminhosdegeografia/index;https://doaj.org/toc/da6485e575244278b35cc78ad87c4dec;Anonymous peer review;No;10
111;Ciencias Naturales y Exactas;Inferencia Estadística;Ecuador;Chakiñan;;2550-6722;Universidad Nacional de Chimborazo;English, Quechua, Spanish;Social Sciences: Social sciences (General);http://chakinan.unach.edu.ec/index.php/chakinan;https://doaj.org/toc/09431d8250524160ab5966bc42462929;Double anonymous peer review;No;10
112;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Ciencia Política;1909-230X;2389-7481;Universidad Nacional de Colombia;English, French, Spanish;Political science: Political institutions and public administration (General) | Political science: Political science (General);https://revistas.unal.edu.co/index.php/cienciapol;https://doaj.org/toc/1f55d721c7ff47fc821fe007fc7c4e5e;Peer review;No;10
113;Ciencias Naturales y Exactas;Inferencia Estadística;Ecuador;Ciencia y Educación;2707-3378;2790-8402;Ecuatesis;Spanish;Social Sciences: Social sciences (General) | Education;https://www.cienciayeducacion.com;https://doaj.org/toc/ce0c4afeaaf3415082337b50a9454be3;Double anonymous peer review;No;10
114;Ciencias Naturales y Exactas;Experimental;Colombia;Ciencia y Tecnología de Buques;1909-8642;2619-645X;Corporación de Ciencia y Tecnología para el Desarrollo de la Industria Naval, Marítima y Fluvial - COTECMAR;English;Naval Science;https://www.shipjournal.co;https://doaj.org/toc/0ace93a188a744c499be73fa14135c9a;Double anonymous peer review;No;10
115;Ciencias Naturales y Exactas;Inferencia Estadística;Argentina;Ciencias Administrativas;0009-6784;2314-3738;Universidad Nacional de La Plata;Spanish;Social Sciences: Commerce: Business;https://revistas.unlp.edu.ar/CADM;https://doaj.org/toc/f03309b042864f3faaa3bc452825ce82;Anonymous peer review;No;10
116;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Ciudad Paz-ando;2011-5253;2422-278X;Universidad Distrital Francisco José de Caldas;English, Spanish;Social Sciences: Sociology (General);http://revistas.udistrital.edu.co/ojs/index.php/cpaz/index;https://doaj.org/toc/df316897e40345e9b090c120b26d175b;Double anonymous peer review;No;10
117;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Ciências Sociais Unisinos;1519-7050;;Universidade do Vale do Rio dos Sinos;Portuguese;Social Sciences;http://www.revistas.unisinos.br/index.php/ciencias_sociais/index;https://doaj.org/toc/81f1fcf4b5c246cfbe4c60a971790359;Peer review;No;10
118;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Conexões: Ciência e Tecnologia;;2176-0144;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;Portuguese, English;Social Sciences | Medicine | Agriculture | Technology;https://conexoes.ifce.edu.br/index.php/conexoes;https://doaj.org/toc/04adbdec4535475eb7b591c028e0520e;Double anonymous peer review;No;10
119;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Contemporânea;2236-532X;2316-1329;Universidade Federal de São Carlos;French, Spanish, English, Portuguese;Social Sciences: Sociology (General);https://www.contemporanea.ufscar.br/index.php/contemporanea/issue/archive;https://doaj.org/toc/ba31fdab2b1e40c08afee46dca979b14;Double anonymous peer review;No;10
120;Ciencias Naturales y Exactas;Experimental + Estadística;Argentina;Cuaderno Urbano;1666-6186;1853-3655;Universidad Nacional del Nordeste;Spanish;Geography. Anthropology. Recreation: Human ecology. Anthropogeography: Settlements: Cities. Urban geography | Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Urbanization. City and country;http://revistas.unne.edu.ar/index.php/crn;https://doaj.org/toc/2c23eac3c02f437b8769c1a00268086d;Double anonymous peer review;No;10
121;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Cuadernos de Economía;0121-4772;2248-4337;Universidad Nacional de Colombia;Spanish, English;Social Sciences: Economic history and conditions;http://www.fce.unal.edu.co/cuadernos/;https://doaj.org/toc/6292eeab470542439c4a99924e504a6a;Double anonymous peer review;No;10
122;Ciencias Naturales y Exactas;Experimental + Estadística;Argentina;Darwiniana;0011-6793;1850-1702;Instituto de Botánica Darwinion y el Museo Botánico de Córdoba;English, Spanish;Science: Biology (General) | Science: Botany;http://www.ojs.darwin.edu.ar/index.php/darwiniana/index;https://doaj.org/toc/889768ae68c34f02853356b947b3ca81;Double anonymous peer review;No;10
123;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;De-Liberación;;3028-6670;Fundación Universitaria San Martín;English, Spanish;Social Sciences;https://revista.sanmartin.edu.co/index.php/de_liberacion;https://doaj.org/toc/f775438e47b04775858f4e8305fa65cd;Double anonymous peer review;No;10
124;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Debates em Psiquiatria;2236-918X;2763-9037;Associação Brasileira de Psiquiatria (ABP);Spanish, Portuguese, English;Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry;https://revistardp.org.br/revista/index;https://doaj.org/toc/fe8c3a683698488ca2c640d332360528;Anonymous peer review;No;10
125;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Derbyana;;2764-1465;Instituto de Pesquisas Ambientais - SIMA;Portuguese, English;Geography. Anthropology. Recreation: Geography (General) | Science: Geology | Geography. Anthropology. Recreation: Physical geography;https://revistaig.emnuvens.com.br/derbyana/index;https://doaj.org/toc/56aa99343bc6475b86b47cbd67cbab66;Anonymous peer review;No;10
126;Ciencias Naturales y Exactas;Experimental;Argentina;Divulgatio;;2591-3530;Universidad Nacional de Quilmes;Spanish;Technology: Technology (General) | Social Sciences;https://ojs.unq.edu.ar/index.php/divulgatio/index;https://doaj.org/toc/e0c57deaec1646778e6ae9f2bf27b3b0;Double anonymous peer review;No;10
127;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Dos Mil Tres Mil;0123-3408;2539-1933;Universidad de Ibagué;Spanish;Law | Political science;https://revistas.unibague.edu.co/dosmiltresmil;https://doaj.org/toc/8170d8ede34a4f48ac9d7d0683415834;Double anonymous peer review;No;10
128;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Doxa;1413-2060;2594-8385;Universidade Estadual Paulista;Portuguese, Spanish;Philosophy. Psychology. Religion: Psychology | Social Sciences;http://seer.fclar.unesp.br/doxa/index;https://doaj.org/toc/04683a48b36c45e6b254db2f25d2d3cd;Double anonymous peer review;No;10
129;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Economia Aplicada;1413-8050;1980-5330;Universidade de São Paulo;Portuguese;Social Sciences: Economic history and conditions | Social Sciences: Economic theory. Demography: Economics as a science;https://www.revistas.usp.br/ecoa/issue/view/11465;https://doaj.org/toc/53ec218787b4426fa8b842e68ba4d758;Double anonymous peer review;No;10
130;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Economia e Sociedade;0104-0618;1982-3533;Instituto de Economia da Universidade Estadual de Campinas, Publicações, Revista Economia e Sociedade;Spanish, Portuguese, English;Social Sciences: Economic history and conditions | Social Sciences: Economic theory. Demography: Economics as a science;https://www.scielo.br/j/ecos/;https://doaj.org/toc/918518abe8444523a8d886da5937655c;Double anonymous peer review, Open peer review;No;10
131;Ciencias Naturales y Exactas;Inferencia Estadística;Peru;Economía & Negocios;;2708-6062;Universidad Nacional Jorge Basadre Grohmann;Spanish, English;Social Sciences: Commerce: Business;https://revistas.unjbg.edu.pe/index.php/eyn/index;https://doaj.org/toc/115fadf08b9541c5b0759f59f7f462c8;Double anonymous peer review;No;10
132;Ciencias Naturales y Exactas;Experimental;Argentina;El Hornero;0073-3407;1850-4884;Aves Argentinas;Spanish;Science: Zoology;https://elhornero.avesargentinas.org.ar/;https://doaj.org/toc/9d3f0433376a4903b6c2481e2bbbf60b;Anonymous peer review;No;10
133;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Emancipação;1519-7611;1982-7814;Universidade Estadual de Ponta Grossa;Portuguese;Social Sciences: Sociology (General);http://www.revistas2.uepg.br/index.php/emancipacao;https://doaj.org/toc/f98645761365455a99cbaf55181f5117;Double anonymous peer review;No;10
134;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Engenharia na Agricultura;1414-3984;2175-6813;Universidade Federal de Viçosa;Portuguese;Agriculture: Agriculture (General) | Technology: Technology (General) | Social Sciences: Industries. Land use. Labor: Special industries and trades: Agricultural industries;https://periodicos.ufv.br/ojs/reveng/index;https://doaj.org/toc/ae43b95018384ee2afc8a0a38e48e32a;Peer review;Yes;10
135;Ciencias Naturales y Exactas;Inferencia Estadística;Chile;Estudios de Economía;0304-2758;0718-5286;Universidad de Chile;English, Spanish;Social Sciences: Economic history and conditions | Social Sciences: Economic theory. Demography: Economics as a science;https://estudiosdeeconomia.uchile.cl/;https://doaj.org/toc/c3a6f9944f4f4bd88e3e870bd7c1749c;Double anonymous peer review;No;10
136;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Estudos Internacionais;;2317-773X;Pontifícia Universidade Católica de Minas Gerais;English, Portuguese, Spanish;Political science: International relations;http://periodicos.pucminas.br/index.php/estudosinternacionais;https://doaj.org/toc/e9ed2d65065f481cab622835f130f63a;Double anonymous peer review;No;10
137;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Faces: Revista de Administração;1517-8900;1984-6975;Universidade FUMEC;Portuguese, Spanish, English;Social Sciences: Commerce: Business;http://revista.fumec.br/index.php/facesp/;https://doaj.org/toc/2b6100ffe7454ed3b73e715214f62039;Double anonymous peer review;No;10
138;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Fronteiras & Debates;;2446-8215;Universidade Federal do Amapá;Portuguese;History America: Latin America. Spanish America | Social Sciences: Social sciences (General);https://periodicos.unifap.br/index.php/fronteiras/index;https://doaj.org/toc/9d74da403818485ab8e30c7188817f61;Anonymous peer review;No;10
139;Ciencias Naturales y Exactas;Experimental;Brasil;Genetics and Molecular Biology;1415-4757;1678-4685;Sociedade Brasileira de Genética;English;Science: Biology (General): Genetics;http://www.scielo.br/scielo.php?pid=1415-4757&script=sci_serial;https://doaj.org/toc/0f5d3e478b8248ff89ecaba577576f39;Peer review;Yes;10
140;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Geopauta;;2594-5033;Edições Uesb;Spanish, English, Portuguese;Geography. Anthropology. Recreation: Geography (General) | Geography. Anthropology. Recreation: Human ecology. Anthropogeography: Settlements: Cities. Urban geography | Social Sciences;https://periodicos2.uesb.br/index.php/geo;https://doaj.org/toc/24d1595dff3c4e789b22cd8c9af4b903;Peer review;No;10
141;Ciencias Naturales y Exactas;Experimental + Estadística;Colombia;Gestión y Ambiente;0124-177X;2357-5905;Universidad Nacional de Colombia;Spanish;Geography. Anthropology. Recreation: Environmental sciences;http://www.revistas.unal.edu.co/index.php/gestion;https://doaj.org/toc/18a0cfafa65b4b7abe29fd87a1e086e6;Double anonymous peer review;No;10
142;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Guaju;;2447-4096;Universidade Federal do Paraná;Spanish, English, Portuguese;Geography. Anthropology. Recreation: Geography (General) | Social Sciences;https://revistas.ufpr.br/guaju/index;https://doaj.org/toc/0ea4b78fc68049359969bbcf2ca5d191;Double anonymous peer review;No;10
143;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Headache Medicine;;2178-7468;Sociedade Brasileira de Cefaleia;English, Portuguese;Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system;http://headachemedicine.com.br;https://doaj.org/toc/35d42a8d8a7142a58c34e43af27a9f8b;Peer review;No;10
144;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Historia Ambiental Latinoamericana y Caribeña;;2237-2717;UniEVANGELICA;Portuguese, Spanish;Geography. Anthropology. Recreation: Environmental sciences | History America: Latin America. Spanish America;http://www.halacsolcha.org/index.php/halac;https://doaj.org/toc/92206a0ba3da4755a3ffcf684aaf9e31;Double anonymous peer review;No;10
145;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Hoplos;;2595-699X;Universidade Federal Fluminense (UFF);Portuguese;Political science: International relations | Political science: Political institutions and public administration (General);https://periodicos.uff.br/hoplos;https://doaj.org/toc/a75132e06e9b4378ae545f73a35c9671;Double anonymous peer review;No;10
146;Ciencias Naturales y Exactas;Inferencia Estadística;Argentina;IESPyC;;2525-1600;Universidad San Pablo-Tucumán;Spanish, English, Portuguese;Political science | Law;https://uspt.edu.ar/uspt-revistadigital/index.php/iespyc/index;https://doaj.org/toc/5eaad7318d9e4ef5b56fd5ee51ce02db;Double anonymous peer review;No;10
147;Ciencias Naturales y Exactas;Inferencia Estadística;Colombia;Inciso;1794-1598;;Universidad La Gran Colombia;Spanish;Law: Law in general. Comparative and uniform law. Jurisprudence | Political science;http://revistas.ugca.edu.co/index.php/inciso;https://doaj.org/toc/357ced2dda99481f9041ddc628d70f40;Double anonymous peer review;No;10
148;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Informe Econômico;1517-6258;2764-1392;Universidade Federal do Paiuí;Portuguese, English, Spanish;Social Sciences: Social sciences (General) | Social Sciences: Economic history and conditions;https://periodicos.ufpi.br/index.php/ie/index;https://doaj.org/toc/15ab8fb9ea8b41a2a81fee7e6bb936ac;Double anonymous peer review;No;10
149;Ciencias Naturales y Exactas;Experimental;Uruguay;Innotec;1688-3691;1688-6593;Laboratorio Tecnológico del Uruguay;Spanish;Science: Science (General);http://ojs.latu.org.uy/index.php/INNOTEC/index;https://doaj.org/toc/069147111dd54baba94f65e6f58bc34d;Double anonymous peer review;No;10
150;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;Inter;;2596-3503;Universidade Federal do Rio de Janeiro;Portuguese, English, Spanish, Italian, French;Social Sciences | Political science: International relations;https://revistas.ufrj.br/index.php/inter/index;https://doaj.org/toc/768fcbf9be3d40758f9d030bad2caacc;Double anonymous peer review;No;10
151;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Intermaths;;2675-8318;Universidade Estadual do Sudoeste da Bahia (UESB);Spanish, English, Portuguese;Science: Mathematics;https://periodicos2.uesb.br/index.php/intermaths/;https://doaj.org/toc/69c3c40a1fa3455a8d2ff6c3e8c55b1b;Double anonymous peer review;No;10
152;Ciencias Naturales y Exactas;Inferencia Estadística;Brasil;International Journal of Innovation;;2318-9975;UNIVERSIDADE NOVE DE JULHO;Spanish, Portuguese, English;Social Sciences: Industries. Land use. Labor: Management. Industrial management: Technological innovations. Automation | Education;https://periodicos.uninove.br/innovation/index;https://doaj.org/toc/4639da3e757c45cbbd2b0268df07ad37;Double anonymous peer review;No;10
153;Ciencias Naturales y Exactas;Experimental + Estadística;Brasil;Jornal de Assistência Farmacêutica e Farmacoeconomia;2525-5010;2525-7323;Instituto Nacional de Assistência Farmacêutica e Farmacoeconomia;Spanish, English, Portuguese;Medicine: Pharmacy and materia medica | Social Sciences: Industries. Land use. Labor: Special industries and trades: Pharmaceutical industry;https://jaff.org.br/;https://doaj.org/toc/97e46e5a067f47c1b6627945c45113b1;Double anonymous peer review;No;10
154;Ciencias Naturales y Exactas;Experimental + Estadística;Argentina;Journal of Computer Science and Technology;1666-6046;1666-6038;Postgraduate Office, School of Computer Science, Universidad Nacional de La Plata;English;Technology: Electrical engineering. Electronics. Nuclear engineering: Electronics: Computer engineering. Computer hardware | Science: Mathematics: Instruments and machines: Electronic computers. Computer science;http://journal.info.unlp.edu.ar;https://doaj.org/toc/5d0ba46e154f42f391b5de1371ddbac8;Peer review;No;10
